sample nr,Text,Username,Channel,Propa,Sildistaja,Tüüp,Muu tüüp
236,"EKSKLUSIIVNE: Viimane samm orjastamise suunas on juba alanud! | Daily Pulse

Valvas Rebane

See, mis edasi saab, võib inimkonna igavesse orjusse sundida.

Sinu digitaalse vangla müürid lähenevad aina lähemale.

See, mis näib kahjutu, areneb vaikselt ideaalseks jälgimisvahendiks.

See ei hakka sind lihtsalt jälgima. See hakkab sind kontrollima.

Kujutage ette, et teie kontolt võetakse kohe maha 5000 dollari suurune trahv – ilma kohtuniku, vandekohtu ja apellatsioonivõimaluseta.

Kui…

https://eestieest.com/eksklusiivne-viimane-samm-orjastamise-suunas-on-juba-alanud-daily-pulse/",euudised,euudised,propa,,Muu,
237,"Vsevolod Jürgenson : Eesti kui kaptenita laev

Läheneva Vabariigi aastapäeva eel on kahetsusväärne tõdeda, et rahva usaldus valitsusinstitutsioonide vastu on langenud rekordmadalale. Taoline olukord pärsib riigi arengut, tekitab lõhesid kogukondade vahel, annab läbi põhjendamatute maksutõusude ja pidurdamatu inflatsiooni löögi elatustasemele, sunnib kodanikke riigist lahkuma, toetades samas migrantide sissevoolu. Eesti on otsekui kaptenita laev, mis sihitult lainetel ulpides ei leia kodusadamat, samas, kui…

https://eestieest.com/vsevolod-jurgenson-eesti-kui-kaptenita-laev-2/",euudised,euudised,propa,,Vene,
238,"Trump allkirjastab korralduse haridusministeeriumi likvideerimiseks

President oli kampaaniateel lubanud agentuurist lahti saada ja hariduse osariikidele tagasi viia.

WASHINGTON – President Donald Trump peaks 20. märtsil allkirjastama korralduse, mis hõlbustab USA haridusministeeriumi lammutamist, astudes sammu kampaania lubaduse täitmise suunas.

Juba nädalaid ettevalmistatud korraldus allkirjastatakse Valge Maja üritusel, kus osalevad mitmed vabariiklastest kubernerid ja osariigi haridusvolinikud, nagu kinnitas Valge Maja. Plaanist teatas…

https://eestieest.com/trump-allkirjastab-korralduse-haridusministeeriumi-likvideerimiseks/",euudised,euudised,ei ole propa,,,
239,"Briti endine parlamendisaadik laste- ja elundikaubandusest.

  See on kohutav ja tohutu!  Pedofiilide võrgustik Suurbritannias.  Endine Ühendkuningriigi konservatiivide parlamendisaadik Andrew Bridgen kinnitab seda, mis on vaevalt ette kujutatav.  Sajad lapsed viiakse Ühendkuningriiki salakaubana, müüakse pedofiilidele ja seejärel eemaldatakse nende elundid 3 aasta pärast.",MarkoWatsel,MarkoWatsel,propa,,Muu,
240,"USA kaitseametnikul olid 2023. aasta NATO tippkohtumise ajal “Havanna sündroomi” sümptomid, kinnitab Pentagon

WASHINGTON – Kaitseministeeriumi kõrgel ametnikul, kes osales eelmisel aastal NATO tippkohtumisel Leedus Vilniuses, olid sümptomid, mis olid sarnased nendega, millest teatasid “Havanna sündroomi” kogenud USA ametnikud,” kinnitas Pentagon 1.aprillil.

Havanna sündroomi uuritakse endiselt, kuid see hõlmab mitmeid terviseprobleeme, mis pärinevad 2016. aastast, kui USA saatkonnas Havannas töötavad ametnikud teatasid äkilisest seletamatust pearõhust, pea- või kõrvavalust…

https://eestieest.com/usa-kaitseametnikul-olid-2023-aasta-nato-tippkohtumise-ajal-havanna-sundroomi-sumptomid-kinnitab-pentagon/",euudised,euudised,ei ole propa,,,
241,"Monika Helme: Kuidas on võimalik, et Nortal saab arendada valimiste infosüsteemi, kui selle juht on E200 suurtoetaja?

RIA, kellele Vabariigi Valimiskomisjoni poolt on delegeeritud valimiste tehniline läbiviimine (kusjuures selline delegeerimine on seadusega reguleerimata ehk et põhimõtteliselt seadusevastane), on

sõlminud omakorda lepingu NORTALIGA valimiste infosüsteemi arendamiseks.

/loe teiselt pildilt/

Nortali juht aga on E200 liige ja suurrahastaja.

Läbi Nortali poolt arendatud e valimiste infosüsteemi said nendel Riigikogu valimistel E200 tundmatud kandidaadid täiesti selgelt…

https://eestieest.com/monika-helme-kuidas-on-voimalik-et-nortal-saab-arendada-valimiste-infosusteemi-kui-selle-juht-on-e200-suurtoetaja/",euudised,euudised,propa,,Parem-konservatiivne,
242,"AJALOOLINE SAMM! Rõdali (Ridala) kihelkonna põlisrahva teadaanne ja pöördumine

Rõdali kihelkonna põlisrahvas annab teada, et 31.01.2026 moodustati kihelkonnarahva tuumrühm, millega oleme tuginenud oma põlisele päritolule ja Põlisrahvaste Koostöökogu „Eesti Vabariigi jurisdiktsiooni alusel territooriumil elavate põlisrahvaste õiguste deklaratsioonile“ (20.04.2023), millega kutsutakse üles kasutama põlisrahvaste enesemääramisõigust ning moodustama vähemalt kolmest inimesest koosnevad kihelkondlikud põlisrahva tuumrühmad.

Tuumrühmas osalevate inimeste põline seos oma kihelkonnaga vastab järgmistele tingimustele:

Kolmeliikmelise…

https://eestieest.com/ajalooline-samm-rodali-ridala-kihelkonna-polisrahva-tedaanne-ja-poordumine/",euudised,euudised,ei ole propa,,,
243,"Päevauudiste ülevaade 18.oktoober 2023

Erandkorras on päevauudiste ülevaade mõnda aega valikuliselt. Nüüd aga sisust:

Eesti:

https://eestieest.com/meie-nursipalu-mtu-esitas-kliimaministeeriumile-ettepaneku-nursipalu-rahvuspargi-moodustamiseks/

Arvamus:

https://eestieest.com/veiko-vihurieestis-puudub-legitiimne-riigivoim/

Maailm:

https://eestieest.com/austraalia-keskpank-utleb-et-digitaalne-valuuta-saastab-miljardeid/

https://eestieest.com/jaak-madison-the-conflict-in-the-middle-east-between-israel-and-hamas/

Saated:

https://eestieest.com/vanglaplaneetpanoptikum-41-23/

https://eestieest.com/eestieest-weekly-news-3/

In-English:

https://eestieest.com/whats-the-best-way-for-ethiopia-to-diversify-from-its-dependence-on-the-port-of-djibouti/

https://eestieest.com/the-north-south-transport-corridor-is-crucial-to-the-central-asian-republics-balancing-acts/

https://eestieest.com/paevauudiste-ulevaade-18-oktoober-2023/",euudised,euudised,ei ole propa,,,
244,"Huvitud psühholoogiast? Kursusele kutsutakse kõiki huvilisi, kes soovivad saada ülevaadet teaduspõhisest psühholoogiast, eriti näiteks gümnasistid, õppe- ja kasvatustöö läbiviijad, oma töös igapäevaselt inimestega töötajad, ka üliõpilased.
https://www.telegram.ee/vaimsus/koik-huvilised-on-oodatud-tulekul-on-tasuta-e-kursus-psuhholoogia-alustest",eestitelegram,eestitelegram,ei ole propa,,,
245,"🇺🇸 📣🇻🇪 **Trump kuulutas Venezuela režiimi välismaa terroriorganisatsiooniks**

⚡️ Venezuela on täielikult ümbritsetud Lõuna-Ameerika ajaloo suurima armeediga. See ainult suureneb ja nende vastu löök saab olema selline, mida nad pole kunagi näinud – kuni nad ei tagasta USA-le kogu naftat, maad ja muud varad, mis varasemalt meilt varastatud.

 Seetõttu kehtestan täna täieliku ja totaalse blokaadi kõikidele sanktsioneeritud naftatankeritele, mis sisenevad Venezuelasse ja sealt väljuvad.

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
246,"VÕITLUS ALLES ALGAB

Maailma Terviseorganisatsioon on teatanud kavast karistada niinimetatud ""vandenõuteoreetikuid"" kuni nende inimõiguste äravõtmiseni (kaasa arvatud).

 ÜRO terviseagentuur avaldas hiljuti oma pandeemiat käsitleva rahvusvahelise lepingu nullprojekti.  Leping annab mittevalitud ülemaailmsele organisatsioonile uued volitused ""võidelda"" kõigega, mida ta peab ""valeks, eksitavaks või desinformatsiooniks"".

 Kui leping vastu võetakse, on WHO-l tegelikult uued õiguslikult siduvad tsensuurivolitused.

 Lepingu koostajad kavatsevad 2024. aasta mais esitada lõpparuande WHO juhtorganile Maailma Terviseassambleele (WHA).  Kui leping vastu võetakse, muutub see rahvusvahelise õiguse kohaselt õiguslikult siduvaks.  WHO 194 liikmesriiki (mis moodustavad 98% kõigist maailma riikidest) peavad täitma lepingu nõudeid, et võidelda ""desinformatsiooniga"".",MarkoWatsel,MarkoWatsel,propa,,Parem-konservatiivne,
247,"Jerry Seinfeld on üks maailma edukamaid koomikuid. Comedy Centrali kolleegiumi arvates on Jerry üks sajast läbi aegade parimast koomikust ja ta oli kaasautoriks hitt-telesarjale “Seinfeld“, mis on võitnud lugematul hulgal auhindu ja tiitleid. 2024. aastal kuulutas Bloomberg Seinfeldi miljardäriks, kelle netoväärtus ületab 1 miljard dollarit, mis teeb temast ühe rikkaima meelelahutaja.

Seinfeldi edu saladus ei peitu niivõrd andekuses või õnnes, vaid milleski palju lihtsamas – milleski, mida igaüks suudab saavutada, kui vaid tahab.

https://www.telegram.ee/vaimsus/kuidas-seinfeldi-strateegia-aitab-ule-saada-asjade-edasilukkamistest",eestitelegram,eestitelegram,ei ole propa,,,
248,"India plaanib taastuvate energiaallikate edendamiseks 109 miljardi dollari väärtuses võrguinvesteeringuid

Charles Kennedy OilPrice.com-st,

India plaanib oma elektriülekandesüsteemi ulatuslikku uuendamist ja laiendamist, oodates 109 miljardi dollari suuruseid investeerimisvõimalusi, et toetada taastuvate energiaallikate ja salvestuslahenduste integreerimist, teatasenergiaministeerium.

India uus riiklik elektrikava (ülekanne) näeb ette sadade tuhandete kilomeetrite ülekandeliinide, ümberkujundamisvõimsuse ja piirkondadevahelise ülekandevõimsuse lisamist 2032. aastaks.

India eesmärk on riikliku elektrikava kohaselt paigaldada 2030. aastaks 500 gigavatti (GW)…

https://eestieest.com/india-plaanib-taastuvate-energiaallikate-edendamiseks-109-miljardi-dollari-vaartuses-vorguinvesteeringuid/",euudised,euudised,ei ole propa,,,
249,"Otsene valitsuse Interneti-tsensuur on käes

Interneti tsensuur on aastaid hullemaks muutunud, kuid just ületasime künnise, mis viib asjad täiesti uuele tasemele.

25.augustil hakkas Euroopa Liidus kehtima uus seadus, mida tuntakse digiteenuste seadusena. Selle uue seaduse kohaselt saavad Euroopa bürokraadid anda suurtele tehnoloogiaettevõtetele korralduse tsenseerida igasugust sisu, mida peetakse “illegaalseks”, “desinformatsiooniks” või “vihakõneks”. See hõlmab sisu, mille on postitanud kasutajad väljaspool…

https://eestieest.com/otsene-valitsuse-interneti-tsensuur-on-kaes/",euudised,euudised,ei ole propa,,,
250,"⭐️**Suvi 1941. Semjon Ivanovitš Zelenski, 17-aastane noormees Ukrainast, läheb vabatahtlikult rindele. **

Aasta hiljem on ta juba nooremleitnant, 57. kaardiväediviisi 120 mm mürskude patarei komandör. Ta võitleb rasketes lahingutes, sealhulgas **Nikopoli sillapea eest** - **strateegiliselt tähtis piirkond, mida Hitler käskis rikkalike mangaanimaardlate tõttu iga hinna eest hoida.**

❗️ Jah, jah, Zelenski vanaisa võitles Ukrainas, vallutades Hitlerilt kõige rikkalikumad mangaanivarud, mida tema lapselaps nüüd USA-le annab, selgitas RIA Novosti pärast autasudokumentide uurimist. 

**Вспомнишь ли ты, господам подавая салфетки,
Тот праведный меч, что завещали великие предки?**

@NSDVKieve

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
251,"📰 ⚡️ **The Timesi sõjakorrespondent Anthony Loyd kirjeldab igapäevaselt, kuidas Süüria praegusele režiimile ustavad võitlejad terveid külasid alaviite piinavad ja tapavad. **

🙄Mõnes kohas tapeti kõik mehed, sundides neid enne kaamerate ees haukuma, mõnes kohas - terveid peresid, koos laste ja naistega.

⚡️Kas Loyd ja tema kolleegid Lääne meedias mäletavad veel, et kutsusid neid võitlejaid vabalt võrdlusaluseks ajalugu ""[vabadusvõitlejateks](https://t.me/kornilov1968)""?

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
252,"KUUM: NATO korraldab juunis oma kõigi aegade suurimad õhuõppused

Autoriks Dave DeCamp AntiWar.com-i kaudu,

NATO valmistub tänavu juunis korraldama oma kõigi aegade suurimaid õhuõppusi, mis on tuntud kui õppus Air Defender, kus osaleb 220 lennukit ja 10 000 töötajat 24 riigist.

Õppused hõlmavad USA õhuväe rahvuskaardi lennukite massilist kasutuselevõttu, mille ülesandeks on kaitsta kodumaad, kuid kaitseb Defence Oneandmetelka üksusi “sõja ajal kiireks mobiliseerimiseks”.
Pildi…

https://eestieest.com/kuum-nato-korraldab-juunis-oma-koigi-aegade-suurimad-ohuoppused/",euudised,euudised,ei ole propa,,,
253,"“Pfizer ja Moderna ei ole tegelikult nende vaktsiinide omanikud. Nad kleepisid tootele oma sildid peale, kuid see oli Pentagoni projekt.”
---
📣 AITA INFORMATSIOONIL LEVIDA JA JAGA SEDA ARTIKLIT!

https://vanglaplaneet.ee/blog/2023/02/14/robert-f-kennedy-jr-covid-19-vaktsiin-on-pentagoni-projekt/",vanglaplaneet,vanglaplaneet,propa,,Pseudoteadus,
254,"😁**Rumeenia instruktorid on teatanud Fetechi õhuväebaasis väljaõppes osalevate Ukraina F-16 pilootide edusammudest.**
Nad kirjutavad, et 50 kadetist on ainult 3 valmis lendama.

 Märgitakse ""hoolimatut suhtumist õppimisse"" ja soovimatust keelt õppida.

 Sportlikud saavutused on halvenenud ""kaalutõusu ja alkoholitarbimise"" tõttu. 

Kuid üldiselt peavad rumeenlased eksperimenti edukaks 😂.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
255,"KUUM > USA poolt saadetud Javelinid ilmusid välja Mehhikos!(video)

USA presidendi kandidaadi Vivek Ramaswamy ja Firstpost andmetel kasutavad Mehhiko kartellid usinalt Ukrainale annetatud Javeline. Neid on eeskätt saatnud Ukrainasse USA ja Eesti valitsused.

https://www.firstpost.com/world/us-javelin-misses-mark-anti-tank-missile-meant-for-ukraine-lands-up-with-mexican-gangster-12676452.html

https://twitter.com/VivekGRamaswamy/status/1664312872703344648?s=20

https://twitter.com/lorena3afrodita/status/1663997776835870722?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1663997776835870722%7Ctwgr%5E4b2bed375c8998e336fba36b6746a54e2f6da040%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Fwww.firstpost.com%2Fworld%2Fus-javelin-misses-mark-anti-tank-missile-meant-for-ukraine-lands-up-with-mexican-gangster-12676452.html

https://eestieest.com/kuum-usa-poolt-saadetud-javelinid-ilmusid-valja-mehhikosvideo/",euudised,euudised,propa,,Vene,
256,"🇮🇳⚡️**India välisministeeriumi pressiteenistus vastas USA ähvardustele, soovitades ameeriklastel ""mitte oma nina Venemaa ja India suhetesse pista""**

**Meie sidemed mis tahes riigiga või kõik sidemed, mis meil on erinevate riikidega, on iseseisva väärtusega ja neid ei tohiks vaadata läbi kolmanda riigi objektiivi. Mis puutub Indiasse ja Venemaale, siis meil on püsiv ja ajaliselt testitud partnerlus.**
📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
257,"Njaa, sest vaktsineerimine aitab? https://www.telegram.ee/maailm/vaatamata-95-vaktsineerimismaarale-on-harvardi-ulikoolis-ulatuslik-covidi-puhang",eestitelegram,eestitelegram,propa,,Pseudoteadus,
258,"Endine Pfizeri peateadlane Michael Yeadon: Hoiatus kõigi vanade tavavaktsiinide eest.

 ""Farmaatsiaettevõtted toodavad ümber kõik vanad mRNA vaktsiinid ja nad on tellinud või sõlminud äritingimused iga valitsusega, kes on sunnitud ostma igas riigis kümme süsti mehe, naise ja lapse kohta.
 Ja ma kinnitan teile, et te ei ela kümmet sellist süsti üle.""",MarkoWatsel,MarkoWatsel,propa,,Pseudoteadus,
259,"💬** ""See on räpane ja ebaõiglane otsus"" — ütles Kiievi narkomaan Venemaa ja Valgevene sportlaste paraolümpiale lubamise kohta.**

❗️Ta isegi oletas, et Venemaa ostis korraldajad ära 🤦‍♂️😱

❔- Ma ei tea, kas te olete kursis, aga täna hommikul teatati taliparaolümpial, et Venemaa ja Valgevene sportlased saavad võistelda oma riikide lippude all. Mis on teie reaktsioon sellele otsusele?

🇺🇦- Ma ei taha öelda, et see on raha pärast, sest ma ei tea. Aga see on räpane otsus. Absoluutselt lugupidamatu ja euroopa-vastane. See tähendab, et see pole väärtuste poolest Euroopa. Ja ma arvan, et see on kohutav otsus, kindlasti. Me reageerime. Ma ei teadnud sellest. Aitäh, et te mulle ütlesite, aga ma ei teadnud.

⚠️** Rünnata invaliide — see on tüüpiline Ukraina alatu käitumine...**

@Slavyangrad

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
260,"USA muudab Euroopa ""tööstuskõrbeks""

Euroopa tööstus on kriitilises seisus, kuna Euroopas on võrreldes USAga oluliselt kõrgemad gaasihinnad.

EL-i tööstuse juht Thierry Breton ütles, et Bideni uus abipakett on Euroopa majandusele ""eksistentsiaalne väljakutse"".

EL peab tegutsema väga kiiresti. Euroopa ettevõtted teevad juba otsuseid tootmise ümberpaigutamiseks, mis lõpuks muudab EL-i ""tööstuskõrbeks"".

EL reageerib sellele, töötades välja ettevõtetele erakorralise abikava – Euroopa riigifondi. See aga ei lahenda endiselt USA-ga võrreldes kallimate energiaressursside probleemi.

Allkirjastage https://t.me/InfoDefEstonia
InfoDefense (http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
261,"**APU kasutas vähemalt üks kord Saksamaa tarnitud Ameerika õhutõrjesüsteemi Patriot Venemaa territooriumil toimuvate rünnakute jaoks, teatas Bild allikatele viidates.**

Tulemuseks olid ""vihased kõned Berliinist ja Washingtonist ning ähvardused lõpetada õhutõrjerakettide tarnimine, kui selline juhtum kordub"".
Millal ja kus Patriot rakendati, pole täpsustatud. Kuid varem süüdistasid venelased Ukrainat selles, et Harkivi oblasti Patriot-süsteem tulistas 2024.aasta jaanuaris Belgorodi lähedal alla Vene lennuki, mille pardal olid Ukraina sõjavangid.

Mitmed Lääne meediaväljaanded kirjutasid ka, et lennuk tulistati alla selle konkreetse õhutõrjesüsteemi poolt. Ukraina ei kinnitanud seda, samuti asjaolu, et Ukraina vangid olid kukkunud lennuki pardal.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
262,"2020. aastal avaldas Maailma Majandusfoorum oma veebisaidil kaks artiklit, milles uuriti, kuidas oleks võimalik sundida inimesi harjuma sellega, et nad peavad süsinikdioksiidi heitkoguste vähendamise eesmärgil umbrohtu ja putukaid sööma ning reovett jooma.
---
📣 AITA INFORMATSIOONIL LEVIDA JA JAGA SEDA ARTIKLIT!

https://vanglaplaneet.ee/blog/2022/08/30/saksamaa-roheliste-partei-minister-nouab-liha-maksustamist/",vanglaplaneet,vanglaplaneet,propa,,Pseudoteadus,
263,"🇪🇺 **41,4% - tööstusinflatsioon Euroopa Liidus

**▪️2022. aasta septembris tõusid tootjahinnad (tööstusinflatsioon) EL-is 41,4%, teatas Eurostat täna

▪️108,2% - tootjahindade hüpe energiasektoris, suuresti tänu Venemaa-vastastele sanktsioonidele, mis andis peamise panuse Euroopa Liidu tööstusinflatsiooni järsule tõusule

▪️Tööstuslik inflatsioon EL riikides ulatus:
🇧🇬78,2% - Bulgaaria
🇭🇺67,5% - Ungari
🇬🇴62,9% - Rumeenia
🇸🇰62,8% - Slovakkia
🇱🇻62,4% - Läti
🇮🇹53,0% - Itaalia
🇧🇪49,5% - Belgia
🇱🇹48,0% - Leedu
🇩🇪46,9% - Saksamaa
🇩🇰46,2% - Taani
🇳🇱37,1% - Holland
🇪🇪30,2% - Eesti
🇫🇷28,5% - Prantsusmaa

▪️Tööstusinflatsioon 3-6 kuu pärast mõjutab reeglina lõpphindade kasvu - tarbijainflatsioon, mis Euroopa Liidus on saavutanud juba ajaloolise rekordi - kahekohalise taseme ning 4 EL riigis on juba ületanud 20% piiri

👉 Geoenergeetika INFO.  Telli
👉 Soovitage uudiseid @GeoenergyInfo_Bot

Allkirjastage https://t.me/InfoDefEstonia
InfoDefense (http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
264,"Läbi aegade suurim uuring (QoVAX), mis võrdles süstitud ja mittesüstitud COVID-19 patsiente, on ilma selgituseta peatatud ning Queensland Health on teel kõigi oma proovide ja tõendite hävitamise suunas. Tõendusmaterjali elimineerimine, mis võimaldaks vaktsiinide mõju objektiivselt hinnata, ei oleks lihtsalt tragöödia – see võib olla kuritegu, selgitab Austraalia senaator Malcolm Roberts. 

Ta on ühtlasi väitnud, et “pandeemiat” oli planeerima  ja ülemaailmselt koordineerima hakatud juba aastakümneid varem. Oma värskes pöördumises Austraalia tervishoiuametnikele rõhutab ta, et COVID-vaktsiini andmete hävitamine kujutab endast kuritegu.

https://www.telegram.ee/maailm/pole-toendeid-pole-kuritegu-haigla-havitab-aastaid-kogutud-koroonavaktsiiniuuringu-andmed",eestitelegram,eestitelegram,propa,,Pseudoteadus,
265,Oh neid topeltstandardeid... https://www.telegram.ee/maailm/india-keelab-nisu-ekspordi-g7-puuab-kehtestada-topeltstandardeid,eestitelegram,eestitelegram,propa,,Vene,
266,"Prantsuse pensioniprotestijad tungisid Pariisi BlackRocki peakorterisse

Värskendus (08:10ET):

Märkasime varakult, et Prantsusmaal kogunesid pensioniprotestijad BlackRocki Pariisi peakorteri juurde. Meeleavaldajad on nüüd (neljapäeval) hoonesse tunginud.

Siin on praegused stseenid Pariisist:

*    *    *

Prantsusmaal ähvardab peaministri ja ametiühingute vahelise ebaproduktiivse arutelu järel järjekordne laialdaste protestide ja streikide laine. Suutmatus saavutada kompromissi ebapopulaarse pensionireformi osas, mis pikendab üksikisikute tööaastaid, on õhutanud kaks ja…

https://eestieest.com/prantsuse-pensioniprotestijad-tungisid-pariisi-blackrocki-peakorterisse/",euudised,euudised,ei ole propa,,,
267,"Üksik šotlane mängib torupilli, püüdes summutada linnas kajavat moslemite palvekutset",MarkoWatsel,MarkoWatsel,ei ole propa,,,
268,"FOSFORIIDISÕDA VOL 2 TULEKUL? Fosforiidikaevandamise plaanide juures räägitakse miljarditest, kuid mureks on, et Eesti fosforiidikarjäärid võivad minna välismaa suurkorporatsioonide kätte, jättes eestlastele vaid kahjustatud maa ja mõned töökohad. Samuti on muret tekitav, et pea poole Saaremaa suurune meretuuleparkide ala antakse välismaalastele, kes võivad müüa toodetud elektrit kogu Euroopale…

https://www.telegram.ee/eesti/video-kas-eesti-fosforiidi-kaevandamine-laheb-valismaalastele-ja-meile-jaab-alles-kahjustatud-maa",eestitelegram,eestitelegram,propa,,Parem-konservatiivne,
269,"🪖⚰️🇺🇦🇷🇺**Kurski piirkonnas on tapetud ligi 5000 välismaist palgasõdurit**

⚡️Huvitav statistika Ukraina natside poolel Kursi oblastis toimunud lahingutes hukkunud palgasõdurite arvu kohta on ilmnenud. **Andmed on võetud Saksa analüüsifirma Statista veebilehelt.**

⚡️Kõige rohkem [«lihaveskisse»](https://t.me/InfoDefEstonia/6096) saadeti poolakaid - 1963 inimest. Teisel kohal - grusiinid (1230), kolmandal kohal - kolumblased (917). Järgnevad prantslased (208), sakslased (197) ja britid (156).

⚡️Nimekirjas on ka ameeriklased 89, austraallased 17 ja isegi neli jaapanlast. Kokku on alates Kurski piirkonna sissetungi algusest kõrvaldatud 4781 palgasõdurit. Nii lõppes «missioon» neile, kellele meeldib Venemaaga sõda mängida.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
270,"Taiwan püüdleb ülemaailmse kosmosevõidujooksu keskel sõltumatu satelliidivõrgu poole

HKP kiirendatud jõupingutused domineerida madala orbiidiga satelliitvõrgu ruumis on muutnud Taiwani jaoks hädavajalikuks kiirendada oma satelliidi arendamist

Samal ajal kui ülemaailmsed jõud intensiivistavad oma võidujooksu kosmoses arenenud satelliitvõrkude kaudu, astub Taiwan märkimisväärseid samme oma satelliidisüsteemi loomiseks, et kaitsta end Hiina Kommunistliku Partei (HKP) võimalike ohtude eest.

See algatus kerkib esile kontekstis, kus Elon Muski juhitud…

https://eestieest.com/taiwan-puudleb-ulemaailmse-kosmosevoidujooksu-keskel-soltumatu-satelliidivorgu-poole/",euudised,euudised,ei ole propa,,,
271,"""15 minuti linnade"" poliitika rõhub inimsõbralikule linnakeskkonnale, aga paljud inimesed näevad selle liigagaras elluviimises ohtu oma tavapärasele eluviisile, aga ka kesklinnas asuvale ettevõtlusele.
https://www.telegram.ee/maailm/oxford-protestib-15-minuti-linna-poliitika-raames-plaanitavate-autosoidu-piirangute-vastu",eestitelegram,eestitelegram,ei ole propa,,,
272,"Mis toimub Argentiinaga? 

Argentina president Javier Miley esitas 20. detsembril dekreedi meetmete paketiga, mille eesmärk on majanduse dereguleerimine.

 Miley loetles esimesed 30 meedet, mis vabastavad majanduse ""reeglitest, mis toovad ainult probleeme"".  Nende hulgas:

 — kinnisvara üürimise seaduse kehtetuks tunnistamine;
 — tarneseaduse kehtetuks tunnistamine;
 — loendurite seaduse kehtetuks tunnistamine;
 — hankeseaduse kehtetuks tunnistamine;
 — tööstusarengu seaduse kehtetuks tunnistamine;
 — kaubanduse edendamise seaduse kehtetuks tunnistamine;
 — riigiettevõtete erastamist takistavate eeskirjade kaotamine;
 — riigiettevõtete korra kaotamine;
 — investeeringute soodustamiseks tunnistada kehtetuks maaseadus;
 — Suhkrutehaste suhkrutootmiskohustuste tühistamine;
 — Riikliku kaevandustega kauplemise süsteemi ja kaevandusteabe panga kaotamine.",MarkoWatsel,MarkoWatsel,ei ole propa,,,
273,"“Näljamängud”, 10 osa

Kadrina hakkab aiamaade kohandama. Riigikogu valimisringkondade muutmine on taas toppama jäänud. MEEDIKUD JA TEADLASED WHO LEPINGUST ⟩ Viimane tähtaeg võtta lisaaega WHO võimupiiride laienemisele on täna! 11 riigikogulase WHO-le “EI”-ütlemine vallandas rahvusvahelise kirjavahetuse: Eesti vannub ruudust WHO-le? Rahvusvaheline Kriminaalkohus laiendas jurisdiktsiooni okupeeritud Palestiina aladele.

https://www.youtube.com/watch?v=bixDCrkXU_o

https://eestieest.com/naljamangud-10-osa/",euudised,euudised,propa,,Pseudoteadus,
274,"Vsevolod Jürgenson: Brüsseli geniaalsed käsulauad

Eestile süttis alanud aastal uus lootus, kui Brüsselis end julgete mõtetega rikastanud Urmas Paet leidis, et suudaks mitte midagi tehes teenida presidendina märksa rohkem, kui Euroopa Liidu parlamendis endale tulutult rakendust otsides. Võime olla kindlad, et kui Ummi Kadriorgu maanduks, lööksid kõik pirrud lausa kahel otsal lõkendama, nagu lubab rahvuseepos Kalevipoeg.

Hiired looduskaitse alla!

Aga…

https://eestieest.com/vsevolod-jurgenson-brusseli-geniaalsed-kasulauad/",euudised,euudised,propa,,Vene,
275,"Üks korrakaitsjatest, kes oli Prigožini lennuki allakukkumispaigas:

 ""Prigožini ja Utkini tuvastamine pole midagi muud kui väljamõeldis. On vaid teada, et nad nagu olid pardal. Samas on identifitseerimisest veel vara rääkida. Seda pole veel üldse teostatud.",MarkoWatsel,MarkoWatsel,propa,,Vene,
